"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Clean up by closing the browser page.","8280","Book Details Page Test","chromium","Sat Aug 23 13:16:05 EEST 2025","passed","Sat Aug 23 13:16:13 EEST 2025","STAGING Guest user front-end test","","",""
"Clean up by closing the browser page.","18274","Navigation Bar Test","chromium","Sat Aug 23 04:17:44 EEST 2025","passed","Sat Aug 23 04:18:02 EEST 2025","STAGING Guest user front-end test","","",""
